sale_date,city,store_id,product_name,category,unit_price,quantity,discount,actual_amount,member_ratio,weather,season,is_holiday,campaign
2024-06-30,辽宁省,S702,芋泥波波,奶茶,16,30,0.00,480.0,0.40,多云,夏季,0,无活动
2024-09-09,辽宁省,S703,杨枝甘露,果茶,24,16,0.05,364.8,0.60,阴天,秋季,0,满减活动
2024-12-18,辽宁省,S704,红豆布丁奶茶,奶茶,17,22,0.10,336.6,0.45,晴天,冬季,1,节日促销
2024-04-20,吉林省,S801,经典珍珠奶茶,奶茶,15,14,0.00,210.0,0.38,多云,春季,0,无活动
2024-07-01,吉林省,S802,黑糖波波茶,奶茶,18,20,0.00,360.0,0.50,晴天,夏季,0,会员日
2024-10-10,吉林省,S803,芝士莓莓,果茶,22,8,0.05,167.2,0.55,雨天,秋季,0,新品上市
2024-01-15,吉林省,S804,满杯橙橙,果茶,20,11,0.00,220.0,0.42,雪天,冬季,0,无活动
2024-05-25,黑龙江省,S901,桃桃乌龙,果茶,19,18,0.00,342.0,0.60,晴天,春季,0,节日促销
2024-08-12,黑龙江省,S902,抹茶拿铁,咖啡,25,5,0.10,112.5,0.30,多云,夏季,0,无活动
2024-11-05,黑龙江省,S903,生椰拿铁,咖啡,28,9,0.00,252.0,0.48,阴天,秋季,0,会员日
2024-02-08,黑龙江省,S904,芋泥波波,奶茶,16,25,0.00,400.0,0.55,晴天,冬季,0,无活动
2024-06-15,江苏省,S1001,杨枝甘露,果茶,24,13,0.05,296.4,0.62,晴天,夏季,0,新品上市
2024-09-25,江苏省,S1002,红豆布丁奶茶,奶茶,17,17,0.00,289.0,0.40,多云,秋季,0,满减活动
2024-03-18,江苏省,S1003,经典珍珠奶茶,奶茶,15,22,0.00,330.0,0.33,阴天,春季,0,无活动
2024-12-01,江苏省,S1004,黑糖波波茶,奶茶,18,12,0.10,194.4,0.58,雪天,冬季,1,节日促销
2024-07-07,浙江省,S1101,芝士莓莓,果茶,22,10,0.00,220.0,0.45,晴天,夏季,0,会员日
2024-10-20,浙江省,S1102,满杯橙橙,果茶,20,20,0.05,380.0,0.50,多云,秋季,0,无活动
2024-02-14,浙江省,S1103,桃桃乌龙,果茶,19,15,0.00,285.0,0.60,雨天,冬季,1,节日促销
2024-05-30,浙江省,S1104,抹茶拿铁,咖啡,25,8,0.00,200.0,0.42,晴天,春季,0,新品上市
2024-08-05,安徽省,S1201,生椰拿铁,咖啡,28,7,0.10,176.4,0.35,阴天,夏季,0,无活动
2024-11-15,安徽省,S1202,芋泥波波,奶茶,16,28,0.00,448.0,0.55,晴天,秋季,0,满减活动
2024-01-25,安徽省,S1203,杨枝甘露,果茶,24,11,0.00,264.0,0.48,多云,冬季,0,会员日
2024-04-10,安徽省,S1204,红豆布丁奶茶,奶茶,17,19,0.05,306.85,0.62,晴天,春季,0,无活动
2024-07-18,福建省,S1301,经典珍珠奶茶,奶茶,15,16,0.00,240.0,0.40,晴天,夏季,0,新品上市
2024-10-03,福建省,S1302,黑糖波波茶,奶茶,18,13,0.00,234.0,0.50,多云,秋季,0,无活动
2024-02-28,福建省,S1303,芝士莓莓,果茶,22,9,0.10,178.2,0.55,雨天,冬季,0,节日促销
2024-06-22,福建省,S1304,满杯橙橙,果茶,20,24,0.00,480.0,0.38,晴天,夏季,1,满减活动
2024-09-14,江西省,S1401,桃桃乌龙,果茶,19,14,0.05,252.7,0.60,阴天,秋季,0,无活动
2024-12-20,江西省,S1402,抹茶拿铁,咖啡,25,6,0.00,150.0,0.42,雪天,冬季,0,会员日
2024-03-22,江西省,S1403,生椰拿铁,咖啡,28,10,0.00,280.0,0.33,晴天,春季,0,新品上市
2024-08-30,江西省,S1404,芋泥波波,奶茶,16,27,0.10,388.8,0.58,多云,夏季,0,无活动
2024-11-10,山东省,S1501,杨枝甘露,果茶,24,15,0.00,360.0,0.45,晴天,秋季,0,节日促销
2024-01-08,山东省,S1502,红豆布丁奶茶,奶茶,17,22,0.00,374.0,0.50,多云,冬季,0,无活动
2024-05-15,山东省,S1503,经典珍珠奶茶,奶茶,15,30,0.05,427.5,0.62,雨天,春季,0,满减活动
2024-07-28,山东省,S1504,黑糖波波茶,奶茶,18,18,0.00,324.0,0.40,晴天,夏季,0,会员日
2024-10-18,河南省,S1601,芝士莓莓,果茶,22,8,0.10,158.4,0.55,阴天,秋季,0,无活动
2024-02-20,河南省,S1602,满杯橙橙,果茶,20,16,0.00,320.0,0.38,晴天,冬季,0,新品上市
2024-06-05,河南省,S1603,桃桃乌龙,果茶,19,12,0.00,228.0,0.60,多云,夏季,0,节日促销
2024-09-28,河南省,S1604,抹茶拿铁,咖啡,25,7,0.05,166.25,0.45,晴天,秋季,0,无活动
2024-03-01,湖北省,S1701,生椰拿铁,咖啡,28,9,0.00,252.0,0.50,雪天,春季,0,会员日
2024-07-10,湖北省,S1702,芋泥波波,奶茶,16,20,0.00,320.0,0.42,多云,夏季,0,满减活动
2024-10-25,湖北省,S1703,杨枝甘露,果茶,24,14,0.10,302.4,0.60,晴天,秋季,0,无活动
2024-01-30,湖北省,S1704,红豆布丁奶茶,奶茶,17,25,0.00,425.0,0.33,阴天,冬季,1,节日促销
2024-04-25,湖南省,S1801,经典珍珠奶茶,奶茶,15,18,0.00,270.0,0.55,晴天,春季,0,无活动
2024-08-15,湖南省,S1802,黑糖波波茶,奶茶,18,10,0.05,171.0,0.48,雨天,夏季,0,新品上市
2024-11-20,湖南省,S1803,芝士莓莓,果茶,22,11,0.00,242.0,0.40,多云,秋季,0,会员日
2024-03-10,湖南省,S1804,满杯橙橙,果茶,20,19,0.00,380.0,0.62,晴天,春季,0,无活动
2024-06-28,广东省,S1901,桃桃乌龙,果茶,19,17,0.10,290.7,0.35,晴天,夏季,0,满减活动
2024-10-08,广东省,S1902,抹茶拿铁,咖啡,25,8,0.00,200.0,0.50,阴天,秋季,0,节日促销
2024-01-18,广东省,S1903,生椰拿铁,咖啡,28,6,0.00,168.0,0.58,多云,冬季,0,无活动
2024-05-22,广东省,S1904,芋泥波波,奶茶,16,24,0.05,364.8,0.42,晴天,春季,0,新品上市
2024-09-01,广东省,S1905,杨枝甘露,果茶,24,20,0.00,480.0,0.60,雨天,秋季,0,会员日
2024-07-20,海南省,S2001,红豆布丁奶茶,奶茶,17,15,0.00,255.0,0.45,晴天,夏季,0,无活动
2024-11-02,海南省,S2002,经典珍珠奶茶,奶茶,15,28,0.10,378.0,0.50,多云,秋季,0,新品上市
2024-03-25,海南省,S2003,黑糖波波茶,奶茶,18,12,0.00,216.0,0.55,阴天,春季,0,节日促销
2024-08-08,海南省,S2004,芝士莓莓,果茶,22,9,0.00,198.0,0.33,晴天,夏季,0,无活动
2024-04-28,四川省,S2101,满杯橙橙,果茶,20,22,0.05,418.0,0.60,晴天,春季,0,会员日
2024-07-29,四川省,S2102,桃桃乌龙,果茶,19,13,0.00,247.0,0.42,多云,夏季,0,无活动
2024-10-31,四川省,S2103,抹茶拿铁,咖啡,25,7,0.00,175.0,0.38,阴天,秋季,1,节日促销
2024-02-12,四川省,S2104,生椰拿铁,咖啡,28,11,0.10,277.2,0.55,雪天,冬季,0,满减活动
2024-06-02,贵州省,S2201,芋泥波波,奶茶,16,30,0.00,480.0,0.40,晴天,夏季,0,新品上市
2024-09-18,贵州省,S2202,杨枝甘露,果茶,24,18,0.00,432.0,0.48,多云,秋季,0,无活动
2024-12-12,贵州省,S2203,红豆布丁奶茶,奶茶,17,20,0.05,323.0,0.60,阴天,冬季,0,会员日
2024-03-15,贵州省,S2204,经典珍珠奶茶,奶茶,15,14,0.00,210.0,0.33,晴天,春季,0,节日促销
2024-08-25,云南省,S2301,黑糖波波茶,奶茶,18,16,0.00,288.0,0.55,晴天,夏季,0,无活动
2024-11-28,云南省,S2302,芝士莓莓,果茶,22,10,0.10,198.0,0.42,多云,秋季,0,新品上市
2024-01-10,云南省,S2303,满杯橙橙,果茶,20,21,0.00,420.0,0.38,阴天,冬季,0,满减活动
2024-05-18,云南省,S2304,桃桃乌龙,果茶,19,15,0.00,285.0,0.60,晴天,春季,0,无活动
2024-09-12,陕西省,S2401,抹茶拿铁,咖啡,25,6,0.05,142.5,0.50,晴天,秋季,0,会员日
2024-12-03,陕西省,S2402,生椰拿铁,咖啡,28,8,0.00,224.0,0.45,多云,冬季,1,节日促销
2024-04-05,陕西省,S2403,芋泥波波,奶茶,16,26,0.00,416.0,0.55,阴天,春季,0,无活动
2024-07-15,陕西省,S2404,杨枝甘露,果茶,24,12,0.00,288.0,0.33,晴天,夏季,0,新品上市
2024-10-22,甘肃省,S2501,红豆布丁奶茶,奶茶,17,19,0.10,290.7,0.60,多云,秋季,0,无活动
2024-01-28,甘肃省,S2502,经典珍珠奶茶,奶茶,15,22,0.00,330.0,0.42,雪天,冬季,0,会员日
2024-06-09,甘肃省,S2503,黑糖波波茶,奶茶,18,14,0.00,252.0,0.38,晴天,夏季,0,节日促销
2024-09-29,甘肃省,S2504,芝士莓莓,果茶,22,8,0.05,167.2,0.55,阴天,秋季,0,无活动
2024-03-28,青海省,S2601,满杯橙橙,果茶,20,17,0.00,340.0,0.48,晴天,春季,0,新品上市
2024-07-05,青海省,S2602,桃桃乌龙,果茶,19,11,0.00,209.0,0.60,多云,夏季,0,满减活动
2024-11-18,青海省,S2603,抹茶拿铁,咖啡,25,9,0.10,202.5,0.33,阴天,秋季,0,无活动
2024-02-05,青海省,S2604,生椰拿铁,咖啡,28,5,0.00,140.0,0.50,雪天,冬季,0,会员日
2024-08-21,台湾省,S2701,芋泥波波,奶茶,16,23,0.00,368.0,0.45,晴天,夏季,0,无活动
2024-11-25,台湾省,S2702,杨枝甘露,果茶,24,14,0.05,319.2,0.55,多云,秋季,0,节日促销
2024-03-05,台湾省,S2703,红豆布丁奶茶,奶茶,17,20,0.00,340.0,0.40,阴天,春季,0,新品上市
2024-06-25,台湾省,S2704,经典珍珠奶茶,奶茶,15,18,0.00,270.0,0.62,晴天,夏季,0,无活动
2024-10-12,内蒙古自治区,S2801,黑糖波波茶,奶茶,18,12,0.10,194.4,0.38,多云,秋季,0,会员日
2024-01-22,内蒙古自治区,S2802,芝士莓莓,果茶,22,10,0.00,220.0,0.50,雪天,冬季,0,满减活动
2024-05-28,内蒙古自治区,S2803,满杯橙橙,果茶,20,25,0.00,500.0,0.60,晴天,春季,0,无活动
2024-08-03,内蒙古自治区,S2804,桃桃乌龙,果茶,19,16,0.05,288.8,0.42,阴天,夏季,1,节日促销
2024-09-21,广西壮族自治区,S2901,抹茶拿铁,咖啡,25,7,0.00,175.0,0.55,晴天,秋季,0,新品上市
2024-12-15,广西壮族自治区,S2902,生椰拿铁,咖啡,28,9,0.00,252.0,0.48,多云,冬季,0,无活动
2024-04-18,广西壮族自治区,S2903,芋泥波波,奶茶,16,28,0.10,403.2,0.33,阴天,春季,0,会员日
2024-07-25,广西壮族自治区,S2904,杨枝甘露,果茶,24,12,0.00,288.0,0.60,晴天,夏季,0,节日促销
2024-11-01,西藏自治区,S3001,红豆布丁奶茶,奶茶,17,15,0.00,255.0,0.42,晴天,秋季,0,无活动
2024-02-18,西藏自治区,S3002,经典珍珠奶茶,奶茶,15,20,0.05,285.0,0.55,雪天,冬季,0,新品上市
2024-06-20,西藏自治区,S3003,黑糖波波茶,奶茶,18,13,0.00,234.0,0.38,多云,夏季,0,满减活动
2024-09-08,西藏自治区,S3004,芝士莓莓,果茶,22,9,0.00,198.0,0.60,阴天,秋季,0,无活动
2024-03-16,宁夏回族自治区,S3101,满杯橙橙,果茶,20,21,0.10,378.0,0.45,晴天,春季,0,会员日
2024-07-12,宁夏回族自治区,S3102,桃桃乌龙,果茶,19,14,0.00,266.0,0.50,多云,夏季,0,无活动
2024-10-29,宁夏回族自治区,S3103,抹茶拿铁,咖啡,25,8,0.00,200.0,0.55,阴天,秋季,0,节日促销
2024-01-08,宁夏回族自治区,S3104,生椰拿铁,咖啡,28,6,0.05,159.6,0.33,雪天,冬季,0,新品上市
2024-05-10,新疆维吾尔自治区,S3201,芋泥波波,奶茶,16,30,0.00,480.0,0.60,晴天,春季,0,无活动
2024-08-28,新疆维吾尔自治区,S3202,杨枝甘露,果茶,24,17,0.00,408.0,0.42,多云,夏季,0,满减活动
2024-11-14,新疆维吾尔自治区,S3203,红豆布丁奶茶,奶茶,17,22,0.10,336.6,0.48,阴天,秋季,0,会员日
2024-02-22,新疆维吾尔自治区,S3204,经典珍珠奶茶,奶茶,15,15,0.00,225.0,0.55,雪天,冬季,1,节日促销
2024-03-10,新疆维吾尔自治区,S3205,黑糖波波茶,奶茶,18,11,0.00,198.0,0.40,晴天,春季,0,无活动
2024-06-14,北京市,S106,芝士莓莓,果茶,22,13,0.00,286.0,0.62,晴天,夏季,0,新品上市
2024-09-03,上海市,S206,桃桃乌龙,果茶,19,19,0.05,342.95,0.33,多云,秋季,0,无活动
2024-12-10,天津市,S305,满杯橙橙,果茶,20,16,0.00,320.0,0.58,阴天,冬季,0,节日促销
2024-04-22,重庆市,S405,抹茶拿铁,咖啡,25,10,0.00,250.0,0.45,晴天,春季,0,会员日
2024-07-31,河北省,S505,生椰拿铁,咖啡,28,8,0.10,201.6,0.50,多云,夏季,0,无活动
2024-11-08,山西省,S605,芋泥波波,奶茶,16,27,0.00,432.0,0.55,阴天,秋季,0,新品上市
2024-02-29,辽宁省,S705,杨枝甘露,果茶,24,14,0.00,336.0,0.38,雪天,冬季,0,满减活动
2024-06-07,吉林省,S805,红豆布丁奶茶,奶茶,17,20,0.05,323.0,0.60,晴天,夏季,0,无活动
2024-09-16,黑龙江省,S905,经典珍珠奶茶,奶茶,15,18,0.00,270.0,0.42,多云,秋季,0,会员日
2024-12-22,江苏省,S1005,黑糖波波茶,奶茶,18,12,0.00,216.0,0.33,阴天,冬季,1,节日促销
2024-04-28,浙江省,S1105,芝士莓莓,果茶,22,15,0.00,330.0,0.55,晴天,春季,0,无活动
2024-08-02,安徽省,S1205,满杯橙橙,果茶,20,20,0.10,360.0,0.48,多云,夏季,0,新品上市
2024-11-22,福建省,S1305,桃桃乌龙,果茶,19,13,0.00,247.0,0.60,阴天,秋季,0,满减活动
2024-03-07,江西省,S1405,抹茶拿铁,咖啡,25,9,0.00,225.0,0.38,晴天,春季,0,无活动
2024-06-10,山东省,S1505,生椰拿铁,咖啡,28,7,0.05,186.2,0.50,多云,夏季,0,会员日
2024-09-27,河南省,S1605,芋泥波波,奶茶,16,25,0.00,400.0,0.45,阴天,秋季,0,节日促销
2024-01-14,湖北省,S1705,杨枝甘露,果茶,24,16,0.00,384.0,0.55,雪天,冬季,0,无活动
2024-05-20,湖南省,S1805,红豆布丁奶茶,奶茶,17,22,0.10,336.6,0.60,晴天,春季,0,新品上市
2024-08-18,广东省,S1906,经典珍珠奶茶,奶茶,15,30,0.00,450.0,0.42,多云,夏季,0,满减活动
2024-11-30,海南省,S2005,黑糖波波茶,奶茶,18,14,0.00,252.0,0.33,阴天,秋季,0,无活动
2024-03-20,四川省,S2105,芝士莓莓,果茶,22,11,0.05,229.9,0.55,晴天,春季,0,会员日
2024-07-08,贵州省,S2205,满杯橙橙,果茶,20,19,0.00,380.0,0.48,多云,夏季,0,节日促销
2024-10-15,云南省,S2305,桃桃乌龙,果茶,19,15,0.00,285.0,0.60,阴天,秋季,0,无活动
2024-02-02,陕西省,S2405,抹茶拿铁,咖啡,25,8,0.10,180.0,0.38,雪天,冬季,0,新品上市
2024-06-26,甘肃省,S2505,生椰拿铁,咖啡,28,10,0.00,280.0,0.50,晴天,夏季,0,满减活动
2024-09-19,青海省,S2605,芋泥波波,奶茶,16,28,0.00,448.0,0.45,多云,秋季,0,无活动
2024-12-05,台湾省,S2705,杨枝甘露,果茶,24,13,0.05,296.4,0.55,阴天,冬季,1,节日促销
2024-04-12,内蒙古自治区,S2805,红豆布丁奶茶,奶茶,17,20,0.00,340.0,0.60,晴天,春季,0,会员日
2024-07-21,广西壮族自治区,S2905,经典珍珠奶茶,奶茶,15,22,0.00,330.0,0.42,多云,夏季,0,无活动
2024-10-09,西藏自治区,S3005,黑糖波波茶,奶茶,18,16,0.10,259.2,0.33,阴天,秋季,0,新品上市
2024-02-14,宁夏回族自治区,S3105,芝士莓莓,果茶,22,9,0.00,198.0,0.55,雪天,冬季,0,满减活动
2024-06-30,新疆维吾尔自治区,S3206,满杯橙橙,果茶,20,25,0.00,500.0,0.48,晴天,夏季,0,无活动
2024-03-30,北京市,S107,桃桃乌龙,果茶,19,14,0.05,252.7,0.60,晴天,春季,0,节日促销
2024-08-14,上海市,S207,抹茶拿铁,咖啡,25,7,0.00,175.0,0.42,多云,夏季,0,无活动
2024-11-25,天津市,S306,生椰拿铁,咖啡,28,8,0.00,224.0,0.38,阴天,秋季,0,会员日
2024-01-28,重庆市,S406,芋泥波波,奶茶,16,26,0.10,374.4,0.55,雪天,冬季,0,新品上市
2024-05-10,河北省,S506,杨枝甘露,果茶,24,12,0.00,288.0,0.45,晴天,春季,0,无活动
2024-08-02,山西省,S606,红豆布丁奶茶,奶茶,17,21,0.00,357.0,0.60,多云,夏季,0,满减活动
2024-10-21,辽宁省,S706,经典珍珠奶茶,奶茶,15,18,0.05,256.5,0.33,阴天,秋季,0,节日促销
